id,rua,terreno,casa_new,vertex_pos,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,ponto,x_dms,y_dms,x,y
"15",rua Tukano,"15",15,"3","3","0","0","3",0.000330502330677,21.428574975131806,"4","59°54′51,6″W","3°4′5,9″S",-59.9143240402086,-3.06829251076706
"15",rua Tukano,"15",15,"4","4","0","0","4",0.000523471683564,112.814251286429169,"1","59°54′50,9″W","3°4′5,6″S",-59.9141444333776,-3.06822195187374
"16",rua Tukano,"16",16,"1","1","0","0","1",0.000086081772642,201.962925406996732,"2","59°54′50,7″W","3°4′6,1″S",-59.9140843365659,-3.0683634581878
"16",rua Tukano,"16",16,"2","2","0","0","2",0.000271570211656,290.375613078983065,"3","59°54′51,3″W","3°4′6,4″S",-59.9142546427103,-3.06843695497799
"16",rua Tukano,"16",16,"3","3","0","0","3",0.000358323083812,20.464322236331995,"4","59°54′51,5″W","3°4′6,1″S",-59.9142925444581,-3.06835891961201
"16",rua Tukano,"16",16,"4","4","0","0","4",0.000548610731478,112.051634564345633,"1","59°54′50,8″W","3°4′5,8″S",-59.9141175992862,-3.06828406257699
"17",av Ipixuna,"5",5,"1","1","0","0","1",0.000082005491616,31.632987216735412,"1","59°54′53,5″W","3°4′2,6″S",-59.9148613500339,-3.06738660471014
"17",av Ipixuna,"5",5,"2","2","0","0","2",0.000269522053907,122.072406062781766,"2","59°54′52,8″W","3°4′2,5″S",-59.9146768543444,-3.0673530815586
"17",av Ipixuna,"5",5,"3","3","0","0","3",0.000340450619090,210.387883855759611,"3","59°54′52,8″W","3°4′2,7″S",-59.914657831749,-3.0674214116561
"17",av Ipixuna,"5",5,"4","4","0","0","4",0.000526021094698,299.948465009713289,"4","59°54′53,4″W","3°4′2,9″S",-59.9148381475421,-3.06746525930334
"18",rua Kokama,"4",4,"1","1","0","0","1",0.000074995612618,30.520670403334169,"1","59°54′53,4″W","3°4′2,9″S",-59.9148379573987,-3.06746490329528
"18",rua Kokama,"4",4,"2","2","0","0","2",0.000260398018938,119.069524704999395,"2","59°54′52,8″W","3°4′2,7″S",-59.9146577339931,-3.06742138805277
"18",rua Kokama,"4",4,"3","3","0","0","3",0.000338979978700,209.577171656156025,"3","59°54′52,7″W","3°4′3,0″S",-59.9146330773019,-3.06749600153668
"18",rua Kokama,"4",4,"4","4","0","0","4",0.000528499074447,301.028317354490810,"4","59°54′53,3″W","3°4′3,1″S",-59.9148180616589,-3.06753721167273
"19",rua Kokama,"6",6,"4","4","0","0","1",0.000065393360394,209.064511768113732,"3","59°54′52,6″W","3°4′3,2″S",-59.9146138918579,-3.06755844809267
"19",rua Kokama,"6",6,"1","1","0","0","2",0.000255877183190,299.617355283459801,"4","59°54′53,3″W","3°4′3,4″S",-59.9147980624767,-3.06760708213344
"19",rua Kokama,"6",6,"2","2","0","0","3",0.000328553510621,30.724097149152456,"1","59°54′53,3″W","3°4′3,1″S",-59.9148180616589,-3.06753721167273
"19",rua Kokama,"6",6,"3","3","0","0","4",0.000518067410898,120.171253633806444,"2","59°54′52,7″W","3°4′3,0″S",-59.9146330967083,-3.06749593837097
"20",rua Kokama,"8",8,"4","4","0","0","1",0.000069917159255,208.583019307072618,"3","59°54′52,5″W","3°4′3,5″S",-59.9145933584483,-3.06762528212777
"20",rua Kokama,"8",8,"1","1","0","0","2",0.000261670419910,299.137233875153015,"4","59°54′53,2″W","3°4′3,6″S",-59.914777907434,-3.06767734924656
"20",rua Kokama,"8",8,"2","2","0","0","3",0.000334770065438,29.618725853324818,"1","59°54′53,3″W","3°4′3,4″S",-59.9147980197433,-3.0676070708488
"20",rua Kokama,"8",8,"3","3","0","0","4",0.000525209689930,119.064511285244436,"2","59°54′52,6″W","3°4′3,2″S",-59.9146138918579,-3.06755844809267
"21",rua Kokama,"10",10,"1","1","0","0","1",0.000070242997549,27.874906243152594,"1","59°54′53,2″W","3°4′3,6″S",-59.914777907434,-3.06767734924656
"21",rua Kokama,"10",10,"2","2","0","0","2",0.000261996258203,118.634797274726139,"2","59°54′52,5″W","3°4′3,5″S",-59.9145933584483,-3.06762528212777
"21",rua Kokama,"10",10,"3","3","0","0","3",0.000327777926222,207.971387995702003,"3","59°54′52,5″W","3°4′3,7″S",-59.9145741532399,-3.06768819784771
"21",rua Kokama,"10",10,"4","4","0","0","4",0.000517625094544,297.211496964128401,"4","59°54′53,1″W","3°4′3,9″S",-59.9147556251123,-3.06774396438632
"22",rua Kokama,"12",12,"1","1","0","0","1",0.000073556183376,27.201521622328929,"1","59°54′53,1″W","3°4′3,9″S",-59.9147556251123,-3.06774396438632
"22",rua Kokama,"12",12,"2","2","0","0","2",0.000263403351698,117.223670855781904,"2","59°54′52,5″W","3°4′3,7″S",-59.9145741532399,-3.06768819784771
"22",rua Kokama,"12",12,"3","3","0","0","3",0.000334515819167,206.855029160241003,"3","59°54′52,4″W","3°4′3,9″S",-59.9145516237675,-3.06775564713164
"22",rua Kokama,"12",12,"4","4","0","0","4",0.000524262644416,296.832879926788053,"4","59°54′53,0″W","3°4′4,1″S",-59.9147322675011,-3.06781371346597
"23",rua Kokama,"14",14,"1","1","0","0","1",0.000072468148296,24.897221570799960,"1","59°54′53,0″W","3°4′4,1″S",-59.9147322675011,-3.06781376295912
"23",rua Kokama,"14",14,"2","2","0","0","2",0.000262230125293,114.676698715324250,"2","59°54′52,4″W","3°4′3,9″S",-59.9145516237675,-3.06775564713164
"23",rua Kokama,"14",14,"3","3","0","0","3",0.000336164074019,204.889396055408554,"3","59°54′52,3″W","3°4′4,2″S",-59.9145229579459,-3.06782379769618
"23",rua Kokama,"14",14,"4","4","0","0","4",0.000526614433353,295.109918910884232,"4","59°54′52,9″W","3°4′4,4″S",-59.914704685032,-3.06788077668841
"24",rua Kokama,"16",16,"1","1","0","0","1",0.000074103919603,25.131909785998722,"1","59°54′52,9″W","3°4′4,4″S",-59.914704685032,-3.06788077668841
"24",rua Kokama,"16",16,"2","2","0","0","2",0.000264554278937,114.726557978428033,"2","59°54′52,3″W","3°4′4,2″S",-59.9145229579459,-3.06782379769618
"24",rua Kokama,"16",16,"3","3","0","0","3",0.000336342067884,204.366819780696829,"3","59°54′52,2″W","3°4′4,4″S",-59.9144947485582,-3.06788981070312
"24",rua Kokama,"16",16,"4","4","0","0","4",0.000527620254259,294.772171588267611,"4","59°54′52,8″W","3°4′4,6″S",-59.9146765325746,-3.06794932470109
"25",rua Kokama,"18",18,"1","1","0","0","1",0.000071593801139,24.666957432782652,"1","59°54′52,8″W","3°4′4,6″S",-59.9146765325746,-3.06794932470109
"25",rua Kokama,"18",18,"2","2","0","0","2",0.000261819478208,113.918365963588727,"2","59°54′52,2″W","3°4′4,4″S",-59.914495770579,-3.06789007177561
"25",rua Kokama,"18",18,"3","3","0","0","3",0.000335559599290,204.211560882688985,"3","59°54′52,1″W","3°4′4,6″S",-59.9144657608759,-3.06795742920411
"25",rua Kokama,"18",18,"4","4","0","0","4",0.000527877980157,294.960152351882869,"4","59°54′52,7″W","3°4′4,9″S",-59.9146491149736,-3.06801546052736
"26",rua Kokama,"20",20,"1","1","0","0","1",0.000073398955918,25.016463284221903,"1","59°54′52,7″W","3°4′4,9″S",-59.9146491149736,-3.06801546052736
"26",rua Kokama,"20",20,"2","2","0","0","2",0.000265717336785,115.478971530078667,"2","59°54′52,1″W","3°4′4,6″S",-59.9144657608759,-3.06795742920411
"26",rua Kokama,"20",20,"3","3","0","0","3",0.000334752644720,204.839140004364538,"3","59°54′52,0″W","3°4′4,9″S",-59.91444048228,-3.06802166989474
"26",rua Kokama,"20",20,"4","4","0","0","4",0.000525639020685,294.376631758507756,"4","59°54′52,6″W","3°4′5,1″S",-59.9146211393995,-3.06808331901236
"27",rua Kokama,"22",22,"1","1","0","0","1",0.000070090692475,24.383193756648808,"1","59°54′52,6″W","3°4′5,1″S",-59.9146211393995,-3.06808331901236
"27",rua Kokama,"22",22,"2","2","0","0","2",0.000260977068440,114.940210281221894,"2","59°54′52,0″W","3°4′4,9″S",-59.91444048228,-3.06802166989474
"27",rua Kokama,"22",22,"3","3","0","0","3",0.000328505670462,204.563843456894034,"3","59°54′51,9″W","3°4′5,1″S",-59.9144159772425,-3.06808459536836
"27",rua Kokama,"22",22,"4","4","0","0","4",0.000517938598657,294.006826932321019,"4","59°54′52,5″W","3°4′5,3″S",-59.9145944395939,-3.06814812507344
